"type","playerId","displayName","previousTeam","newTeam","status","reason"
"player","complexity_aches","ACHES","","denial_esports","active","assigned_to_aw_team_or_preserved"
"player","complexity_teepee","TeePee","","denial_esports","active","assigned_to_aw_team_or_preserved"
"player","complexity_crimsix","Crimsix","","denial_esports","active","assigned_to_aw_team_or_preserved"
"player","complexity_karma","Karma","","denial_esports","active","assigned_to_aw_team_or_preserved"
"player","envy_rambo","Rambo","","envy","active","assigned_to_aw_team_or_preserved"
"player","envy_merk","MerK","","envy","active","assigned_to_aw_team_or_preserved"
"player","envy_nameless","NAMELESS","","envy","active","assigned_to_aw_team_or_preserved"
"player","envy_studyy","StuDyy","","faze_black","active","assigned_to_aw_team_or_preserved"
"player","optic_gaming_nadeshot","NaDeSHoT","","optic_gaming","active","assigned_to_aw_team_or_preserved"
"player","optic_gaming_clayster","Clayster","","Free Agency","freeAgent","moved_to_free_agency"
"player","optic_gaming_mboze","MBoZe","","prophecy","active","assigned_to_aw_team_or_preserved"
"player","optic_gaming_scump","Scump","","optic_gaming","active","assigned_to_aw_team_or_preserved"
"player","strictly_business_censor","Censor","","faze_black","active","assigned_to_aw_team_or_preserved"
"player","strictly_business_apathy","Apathy","","faze_black","active","assigned_to_aw_team_or_preserved"
"player","strictly_business_saints","Saints","","envy","active","assigned_to_aw_team_or_preserved"
"player","strictly_business_dedo","Dedo","","strictly_business","active","assigned_to_aw_team_or_preserved"
"player","trident_t1_dotters_iskatuu","Iskatuu","","team_exile5_t1","active","assigned_to_aw_team_or_preserved"
"player","trident_t1_dotters_chilean","Chilean","","team_exile5_t1","active","assigned_to_aw_team_or_preserved"
"player","trident_t1_dotters_denz","Denz","","mindfreak","active","assigned_to_aw_team_or_preserved"
"player","trident_t1_dotters_damage","Damage","","team_exile5_t1","active","assigned_to_aw_team_or_preserved"
"player","faze_clan_replays","Replays","","Free Agency","freeAgent","moved_to_free_agency"
"player","faze_clan_classic","Classic","","prophecy","active","assigned_to_aw_team_or_preserved"
"player","faze_clan_jkap","JKap","","Free Agency","freeAgent","moved_to_free_agency"
"player","faze_clan_proofy","ProoFy","","faze_black","active","assigned_to_aw_team_or_preserved"
"player","rise_nation_pacman","Pacman","rise_nation","Free Agency","freeAgent","moved_to_free_agency"
"player","rise_nation_whea7s","Whea7s","","automatic_reload","active","assigned_to_aw_team_or_preserved"
"player","rise_nation_loony","Loony","","team_kaliber","active","assigned_to_aw_team_or_preserved"
"player","rise_nation_fears","FEARS","rise_nation","Free Agency","freeAgent","moved_to_free_agency"
"player","vexx_revenge_slumber","Slumber","vexx_revenge","Free Agency","freeAgent","moved_to_free_agency"
"player","vexx_revenge_illskill","iLLSkiLL","vexx_revenge","Free Agency","freeAgent","moved_to_free_agency"
"player","vexx_revenge_mech","Mech","vexx_revenge","Free Agency","freeAgent","moved_to_free_agency"
"player","vexx_revenge_demon","Demon","vexx_revenge","Free Agency","freeAgent","moved_to_free_agency"
"player","epsilon_esports_jurd","Jurd","","tcm_gaming","active","assigned_to_aw_team_or_preserved"
"player","epsilon_esports_swanny","Swanny","","epsilon_esports","active","assigned_to_aw_team_or_preserved"
"player","epsilon_esports_tommey","Tommey","","epsilon_esports","active","assigned_to_aw_team_or_preserved"
"player","epsilon_esports_flux","Flux","","epsilon_esports","active","assigned_to_aw_team_or_preserved"
"player","tcm_gaming_markyb","MarkyB","","tcm_gaming","active","assigned_to_aw_team_or_preserved"
"player","tcm_gaming_moose","Moose","","tcm_gaming","active","assigned_to_aw_team_or_preserved"
"player","tcm_gaming_gunshy","GunShy","","tcm_gaming","active","assigned_to_aw_team_or_preserved"
"player","tcm_gaming_madcat","MadCat","","epsilon_esports","active","assigned_to_aw_team_or_preserved"
"player","xfinity_gaming_muddawg","Muddawg","xfinity_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","xfinity_gaming_crowster","Crowster","xfinity_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","xfinity_gaming_sinful","SinfuL","","orbit_esport","active","assigned_to_aw_team_or_preserved"
"player","xfinity_gaming_doubt","Doubt","xfinity_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","vitality_rises_gotaga","Gotaga","vitality_rises","Free Agency","freeAgent","moved_to_free_agency"
"player","vitality_rises_broken","BroKeN","vitality_rises","Free Agency","freeAgent","moved_to_free_agency"
"player","vitality_rises_krnage","Krnage","vitality_rises","Free Agency","freeAgent","moved_to_free_agency"
"player","vitality_rises_blue","bLue","vitality_rises","Free Agency","freeAgent","moved_to_free_agency"
"player","team_kaliber_sharp","Sharp","","team_kaliber","active","assigned_to_aw_team_or_preserved"
"player","team_kaliber_theory","Theory","","team_kaliber","active","assigned_to_aw_team_or_preserved"
"player","team_kaliber_goonjar","Goonjar","","team_kaliber","active","assigned_to_aw_team_or_preserved"
"player","team_kaliber_formal","FormaL","","optic_gaming","active","assigned_to_aw_team_or_preserved"
"player","team_immunity_buzzo","BuZZO","","mindfreak","active","assigned_to_aw_team_or_preserved"
"player","team_immunity_naked","Naked","team_immunity","Free Agency","freeAgent","moved_to_free_agency"
"player","team_immunity_shockz","Shockz","","mindfreak","active","assigned_to_aw_team_or_preserved"
"player","team_immunity_rampage","Rampage","team_immunity","Free Agency","freeAgent","moved_to_free_agency"
"player","wild_gaming_brock","Brock","wild_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","wild_gaming_incepts","Incepts","wild_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","wild_gaming_anticity","Anticity","","automatic_reload","active","assigned_to_aw_team_or_preserved"
"player","wild_gaming_nexxx","NeXxX","wild_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","vitality_returns_agonie","Agonie","vitality_returns","Free Agency","freeAgent","moved_to_free_agency"
"player","vitality_returns_azox","AzoX","","hypergames","active","assigned_to_aw_team_or_preserved"
"player","vitality_returns_getsom","Getsom","","vitality_x","active","assigned_to_aw_team_or_preserved"
"player","vitality_returns_dylux","dyLux","","vitality_x","active","assigned_to_aw_team_or_preserved"
"player","team_rize_za_jb","JB","team_rize_za","Free Agency","freeAgent","moved_to_free_agency"
"player","team_rize_za_paradoxx","ParadoxX","team_rize_za","Free Agency","freeAgent","moved_to_free_agency"
"player","team_rize_za_pupsky","Pupsky","team_rize_za","Free Agency","freeAgent","moved_to_free_agency"
"player","team_rize_za_mance","Mance","team_rize_za","Free Agency","freeAgent","moved_to_free_agency"
"player","team_orbit_enduraaa","EndurAAA","team_orbit","Free Agency","freeAgent","moved_to_free_agency"
"player","team_orbit_lewis","Lewis","team_orbit","Free Agency","freeAgent","moved_to_free_agency"
"player","team_orbit_jacko","Jacko","team_orbit","Free Agency","freeAgent","moved_to_free_agency"
"player","team_orbit_bounce","BounCe","team_orbit","Free Agency","freeAgent","moved_to_free_agency"
"player","lightning_pandas_shane","ShAnE","","tcm_gaming","active","assigned_to_aw_team_or_preserved"
"player","lightning_pandas_necrome","NeCRoMe","lightning_pandas","Free Agency","freeAgent","moved_to_free_agency"
"player","lightning_pandas_ramba","RaMba","lightning_pandas","Free Agency","freeAgent","moved_to_free_agency"
"player","lightning_pandas_randm","Randm","lightning_pandas","Free Agency","freeAgent","moved_to_free_agency"
"player","sk_gaming_quicky","QuiCky","sk_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","sk_gaming_kivi","Kivi","","fabe_de","active","assigned_to_aw_team_or_preserved"
"player","sk_gaming_rockz","RockZ","sk_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","sk_gaming_raidn","raidN","sk_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","tec_intensity_realize","Realize","tec_intensity","Free Agency","freeAgent","moved_to_free_agency"
"player","tec_intensity_melo","MeLo","tec_intensity","Free Agency","freeAgent","moved_to_free_agency"
"player","tec_intensity_robz","Robz","tec_intensity","Free Agency","freeAgent","moved_to_free_agency"
"player","tec_intensity_wonder","Wonder","tec_intensity","Free Agency","freeAgent","moved_to_free_agency"
"player","wizards_e_sports_club_flexz","FlexZ","wizards_e_sports_club","Free Agency","freeAgent","moved_to_free_agency"
"player","wizards_e_sports_club_t_mac","T Mac","wizards_e_sports_club","Free Agency","freeAgent","moved_to_free_agency"
"player","wizards_e_sports_club_kindok","KiNDoK","wizards_e_sports_club","Free Agency","freeAgent","moved_to_free_agency"
"player","wizards_e_sports_club_jorgeh","JorGeh","wizards_e_sports_club","Free Agency","freeAgent","moved_to_free_agency"
"player","new_star_player_artshot","ArtShot","new_star_player","Free Agency","freeAgent","moved_to_free_agency"
"player","new_star_player_doloshi","Doloshi","new_star_player","Free Agency","freeAgent","moved_to_free_agency"
"player","new_star_player_benjinuri","BenjiNuri","new_star_player","Free Agency","freeAgent","moved_to_free_agency"
"player","new_star_player_turbo","Turbo","new_star_player","Free Agency","freeAgent","moved_to_free_agency"
"player","real_allstars_blackk","Blackk","real_allstars","Free Agency","freeAgent","moved_to_free_agency"
"player","killerfish_esport_hasbroken","hAsbroken","killerfish_esport","Free Agency","freeAgent","moved_to_free_agency"
"player","killerfish_esport_theros","Theros","killerfish_esport","Free Agency","freeAgent","moved_to_free_agency"
"player","killerfish_esport_aykon","AyKoN","killerfish_esport","Free Agency","freeAgent","moved_to_free_agency"
"player","sublime_gaming_kolgaa","Kolgaa","sublime_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","sublime_gaming_frido","Frido","sublime_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","sublime_gaming_pibo","Pibo","","nxg_rapid","active","assigned_to_aw_team_or_preserved"
"player","sublime_gaming_pow3r","POW3R","","nxg_rapid","active","assigned_to_aw_team_or_preserved"
"player","real_allstars_bissell","Bissell","real_allstars","Free Agency","freeAgent","moved_to_free_agency"
"player","real_allstars_torres","Torres","","fabe_allstars","active","assigned_to_aw_team_or_preserved"
"player","real_allstars_daredevil","DaReDeViL","real_allstars","Free Agency","freeAgent","moved_to_free_agency"
"player","reign_mix_reece","Reece","reign_mix","Free Agency","freeAgent","moved_to_free_agency"
"player","reign_mix_joocy","Joocy","reign_mix","Free Agency","freeAgent","moved_to_free_agency"
"player","reign_mix_vizze","Vizze","reign_mix","Free Agency","freeAgent","moved_to_free_agency"
"player","reign_mix_icemann","IceManN","reign_mix","Free Agency","freeAgent","moved_to_free_agency"
"player","aztek_gaming_neooosz","NeooosZ","aztek_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","aztek_gaming_clumzy","Clumzy","aztek_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","aztek_gaming_dynamic","Dynamic","aztek_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","aztek_gaming_afro","Afro","aztek_gaming","Free Agency","freeAgent","moved_to_free_agency"
"player","denial_esports_attach","Attach","","Free Agency","freeAgent","moved_to_free_agency"
"player","revenge_remy","Remy","","revenge","active","assigned_to_aw_team_or_preserved"
"player","revenge_nagafen","Nagafen","","revenge","active","assigned_to_aw_team_or_preserved"
"player","revenge_faccento","Faccento","","revenge","active","assigned_to_aw_team_or_preserved"
"player","revenge_aqua","Aqua","","revenge","active","assigned_to_aw_team_or_preserved"
"player","faze_red_slasher","SlasheR","","faze_red","active","assigned_to_aw_team_or_preserved"
"player","faze_red_parasite","Parasite","","faze_red","active","assigned_to_aw_team_or_preserved"
"player","faze_red_enable","Enable","","faze_red","active","assigned_to_aw_team_or_preserved"
"player","prophecy_ricky","Ricky","","prophecy","active","assigned_to_aw_team_or_preserved"
"player","prophecy_mochila","Mochila","","prophecy","active","assigned_to_aw_team_or_preserved"
"player","automatic_reload_burns","Burns","","automatic_reload","active","assigned_to_aw_team_or_preserved"
"player","automatic_reload_blfire","Blfire","","automatic_reload","active","assigned_to_aw_team_or_preserved"
"player","mindfreak_fighta","Fighta","","mindfreak","active","assigned_to_aw_team_or_preserved"
"player","envy_zoomaa","ZooMaa","","envy","active","assigned_to_aw_team_or_preserved"
"player","strictly_business_phizzurp","pHiZZURP","","strictly_business","active","assigned_to_aw_team_or_preserved"
"player","strictly_business_john","John","","strictly_business","active","assigned_to_aw_team_or_preserved"
"player","strictly_business_neslo","Neslo","","strictly_business","active","assigned_to_aw_team_or_preserved"
"player","aware_gaming_watson","Watson","","aware_gaming","active","assigned_to_aw_team_or_preserved"
"player","aware_gaming_jtee","JTee","","aware_gaming","active","assigned_to_aw_team_or_preserved"
"player","aware_gaming_joee","Joee","","aware_gaming","active","assigned_to_aw_team_or_preserved"
